IDAluno,Turma,Plano,Faixa,Redações,Vídeos,Questões,DataMatriculada,Simulados,Tutor,Logins,Perfil,DataCancelamento,TempoMatricula,DataNascimento,AcessoAte
141766,ITA e IME 2020,FULL,Faixa Branca Grau I,1,85,628,02/09/2019 19:36:32,12,COM TUTOR,47,Exclusivo,N/A,N/A,17/04/1996 00:00:00,31/01/2021 00:00:00
141792,Medicina 2020,FULL,Faixa Verde Grau I,33,4440,10296,06/09/2019 11:04:07,16,COM TUTOR,350,Exclusivo,N/A,N/A,19/05/1996 00:00:00,22/02/2021 02:59:59
141797,ITA e IME 2020,MONTHLY,Faixa Branca Grau IV,0,40,191,06/09/2019 18:37:27,0,COM TUTOR,4,Exclusivo,12/12/2019 20:24:28,97,14/01/1999 00:00:00,05/12/2019 20:40:12
141798,ITA e IME 2020,FULL,Faixa Branca Grau III,0,5,10,06/09/2019 19:39:23,0,COM TUTOR,2,Consulta,N/A,N/A,05/02/2002 00:00:00,31/01/2021 00:00:00
141799,ITA e IME 2020,FULL,Faixa Branca Grau V,0,624,1872,06/09/2019 20:04:02,0,COM TUTOR,169,Consulta,N/A,N/A,14/06/2003 00:00:00,31/01/2021 00:00:00
141804,ITA e IME 2020,FULL,Faixa Branca Grau I,0,0,0,09/09/2019 12:34:15,0,COM TUTOR,0,Parcial,N/A,N/A,N/A,31/01/2021 00:00:00
141815,ITA e IME 2020,MONTHLY,Faixa Branca Grau I,9,131,1996,10/09/2019 13:30:50,9,COM TUTOR,40,Parcial,20/02/2020 02:59:59,163,16/11/2001 00:00:00,08/03/2020 20:17:51
141823,Medicina 2020,FULL,Faixa Verde Grau II,4,618,3269,11/09/2019 14:43:01,5,COM TUTOR,131,Exclusivo,N/A,N/A,04/02/1992 00:00:00,21/02/2021 23:59:59
141826,ITA e IME 2020,MONTHLY,Faixa Verde Grau III,41,613,3896,11/09/2019 17:02:51,9,COM TUTOR,245,Parcial,08/01/2021 19:41:36,485,18/10/1999 00:00:00,09/01/2021 21:23:32
141830,Medicina 2020,FULL,Faixa Azul Grau III,17,1732,3736,12/09/2019 11:21:49,19,COM TUTOR,151,Parcial,N/A,N/A,25/11/1997 00:00:00,21/02/2021 23:59:59
141832,ITA e IME 2020,FULL,Faixa Verde Grau II,4,343,2530,12/09/2019 16:04:14,10,COM TUTOR,97,Parcial,15/02/2021 15:13:19,522,16/10/2003 00:00:00,25/12/2021 02:59:59
141834,ITA e IME 2020,FULL,Faixa Branca Grau I,0,83,55,12/09/2019 21:54:45,0,COM TUTOR,14,Exclusivo,31/07/2020 15:00:00,323,19/05/2000 00:00:00,25/12/2020 00:00:00
141835,ITA e IME 2020,FULL,Faixa Branca Grau I,0,81,97,12/09/2019 22:09:48,0,COM TUTOR,0,Parcial,22/10/2019 00:00:00,39,05/04/2001 00:00:00,25/12/2020 00:00:00
141844,Medicina 2020,FULL,Faixa Branca Grau I,0,17,19,13/09/2019 22:47:22,0,COM TUTOR,0,Exclusivo,18/09/2019 02:59:59,4,27/09/1992 00:00:00,31/01/2021 00:00:00
141845,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,88,235,13/09/2019 23:05:47,1,COM TUTOR,30,Consulta,N/A,N/A,18/11/2000 00:00:00,25/12/2020 00:00:00
141847,ITA e IME 2020,FULL,Faixa Verde Grau II,4,745,1009,14/09/2019 07:35:31,1,COM TUTOR,130,Consulta,N/A,N/A,08/07/2002 00:00:00,25/12/2020 00:00:00
141858,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,114,168,16/09/2019 18:02:08,0,COM TUTOR,58,Exclusivo,N/A,N/A,08/10/2003 00:00:00,25/12/2020 00:00:00
141868,ITA e IME 2020,FULL,Faixa Branca Grau V,0,876,1055,17/09/2019 23:31:14,2,COM TUTOR,149,Exclusivo,23/04/2020 15:00:00,219,26/02/2003 00:00:00,25/12/2020 00:00:00
141878,ITA e IME 2020,MONTHLY,Faixa Branca Grau I,0,16,25,19/09/2019 07:46:43,1,COM TUTOR,0,Exclusivo,26/10/2019 20:44:18,38,13/02/1996 00:00:00,19/10/2019 07:46:40
141887,ITA e IME 2020,MONTHLY,Faixa Branca Grau V,0,213,263,20/09/2019 07:53:51,1,COM TUTOR,13,Parcial,04/01/2020 19:36:43,106,15/09/2003 00:00:00,28/12/2019 06:19:41
141888,Medicina 2020,FULL,Faixa Azul Grau III,19,287,1352,20/09/2019 10:51:43,9,COM TUTOR,83,Consulta,N/A,N/A,14/04/1992 00:00:00,21/02/2021 23:59:59
141891,Medicina 2020,MONTHLY,Faixa Branca Grau I,0,37,97,20/09/2019 18:45:42,0,COM TUTOR,0,Exclusivo,10/10/2019 12:44:44,20,28/11/1976 00:00:00,20/10/2019 18:45:41
141894,Medicina 2020,FULL,Faixa Verde Grau I,1,236,346,21/09/2019 01:32:41,4,COM TUTOR,115,Parcial,N/A,N/A,04/10/1985 00:00:00,31/01/2021 00:00:00
141895,ITA e IME 2020,MONTHLY,Faixa Branca Grau I,0,30,18,21/09/2019 07:54:18,0,COM TUTOR,14,Exclusivo,27/12/2019 19:39:05,97,15/09/1999 00:00:00,20/12/2019 06:21:17
141897,ITA e IME 2020,FULL,Faixa Verde Grau II,2,1343,1361,22/09/2019 11:58:28,1,SEM TUTOR,158,Parcial,N/A,N/A,28/07/2003 00:00:00,25/12/2020 00:00:00
141898,ITA e IME 2020,FULL,Faixa Branca Grau I,0,3,0,22/09/2019 21:54:21,0,COM TUTOR,0,Consulta,30/09/2019 12:29:07,8,10/01/1994 00:00:00,25/12/2020 00:00:00
141903,Medicina 2020,MONTHLY,Faixa Branca Grau I,0,0,0,23/09/2019 12:49:06,0,COM TUTOR,0,Exclusivo,N/A,N/A,N/A,31/01/2021 00:00:00
141904,Medicina 2020,MONTHLY,Faixa Branca Grau IV,0,60,56,23/09/2019 12:58:43,1,COM TUTOR,0,Exclusivo,30/11/2019 19:36:03,68,26/12/1986 00:00:00,23/11/2019 07:02:44
141913,ITA e IME 2020,FULL,Faixa Branca Grau V,1,433,1637,24/09/2019 07:25:08,2,COM TUTOR,250,Exclusivo,N/A,N/A,19/09/2000 00:00:00,25/12/2020 00:00:00
141914,Medicina 2020,MONTHLY,Faixa Branca Grau I,0,8,3,24/09/2019 10:31:18,0,COM TUTOR,0,Exclusivo,28/10/2019 13:06:33,34,06/07/1987 00:00:00,23/11/2019 20:48:46
141916,ITA e IME 2020,FULL,Faixa Branca Grau V,0,258,545,24/09/2019 19:12:19,1,COM TUTOR,44,Parcial,N/A,N/A,19/07/2000 00:00:00,25/12/2020 00:00:00
141918,ITA e IME 2020,FULL,Faixa Branca Grau I,0,51,154,25/09/2019 15:07:56,0,COM TUTOR,8,Exclusivo,N/A,N/A,20/07/1997 00:00:00,25/12/2020 00:00:00
141920,ITA e IME 2020,FULL,Faixa Verde Grau II,1,333,473,25/09/2019 17:12:06,0,COM TUTOR,96,Exclusivo,20/04/2020 15:00:00,208,13/01/2002 00:00:00,25/12/2020 00:00:00
141922,ITA e IME 2020,FULL,Faixa Branca Grau I,3,187,376,26/09/2019 00:31:18,1,COM TUTOR,20,Exclusivo,N/A,N/A,04/03/2002 00:00:00,25/12/2020 00:00:00
141927,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,37,85,27/09/2019 22:55:01,1,COM TUTOR,34,Parcial,N/A,N/A,16/10/1997 00:00:00,25/12/2020 00:00:00
141930,ITA e IME 2020,MONTHLY,Faixa Branca Grau IV,0,40,52,28/09/2019 07:16:30,0,COM TUTOR,0,Exclusivo,04/11/2019 20:52:28,38,12/04/2003 00:00:00,28/10/2019 07:16:28
141933,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,240,96,30/09/2019 14:22:22,0,COM TUTOR,129,Exclusivo,N/A,N/A,16/01/2002 00:00:00,25/12/2020 00:00:00
141936,Medicina 2020,FULL,Faixa Branca Grau III,0,8,0,30/09/2019 17:37:53,0,COM TUTOR,0,Parcial,17/01/2020 15:00:00,109,19/01/1994 00:00:00,31/01/2021 00:00:00
141951,ITA e IME 2020,FULL,Faixa Verde Grau II,3,651,1302,01/10/2019 16:40:10,2,COM TUTOR,84,Consulta,N/A,N/A,18/10/2002 00:00:00,25/12/2020 00:00:00
141955,ITA e IME 2020,FULL,Faixa Verde Grau II,10,571,2330,01/10/2019 19:24:17,5,COM TUTOR,218,Exclusivo,N/A,N/A,11/06/2003 00:00:00,31/01/2021 00:00:00
141956,Medicina 2020,FULL,Faixa Branca Grau I,1,61,71,01/10/2019 19:31:57,0,COM TUTOR,11,Consulta,N/A,N/A,15/10/1985 00:00:00,21/02/2021 23:59:59
141958,ITA e IME 2020,FULL,Faixa Branca Grau I,1,103,467,01/10/2019 22:47:20,0,COM TUTOR,21,Consulta,04/02/2020 02:59:59,125,02/05/1998 00:00:00,25/12/2020 00:00:00
141959,ITA e IME 2020,FULL,Faixa Verde Grau II,3,441,1400,01/10/2019 22:54:38,0,COM TUTOR,190,Parcial,22/02/2021 12:30:08,510,17/09/2004 00:00:00,25/12/2020 00:00:00
141960,ITA e IME 2020,FULL,Faixa Branca Grau I,0,2,25,02/10/2019 00:26:08,0,COM TUTOR,0,Exclusivo,03/02/2020 15:00:00,125,12/01/1998 00:00:00,25/12/2020 00:00:00
141961,ITA e IME 2020,MONTHLY,Faixa Branca Grau I,0,83,123,02/10/2019 07:12:20,0,COM TUTOR,0,Exclusivo,08/11/2019 20:54:24,38,16/05/2002 00:00:00,01/11/2019 07:12:18
141962,ITA e IME 2020,MONTHLY,Faixa Branca Grau I,10,1052,882,02/10/2019 07:56:26,2,COM TUTOR,112,Parcial,07/08/2020 21:49:28,311,26/04/2001 00:00:00,31/07/2020 06:12:01
141968,ITA e IME 2020,FULL,Faixa Branca Grau V,0,61,336,02/10/2019 15:39:56,0,COM TUTOR,22,Parcial,N/A,N/A,10/09/2004 00:00:00,31/01/2021 00:00:00
141970,Medicina 2020,FULL,Faixa Verde Grau III,12,1414,1436,02/10/2019 16:25:06,9,COM TUTOR,256,Exclusivo,N/A,N/A,22/11/2001 00:00:00,31/01/2021 00:00:00
141971,ITA e IME 2020,FULL,Faixa Verde Grau III,11,1659,2568,02/10/2019 16:44:40,18,COM TUTOR,258,Exclusivo,N/A,N/A,25/08/2000 00:00:00,25/12/2020 00:00:00
141972,Medicina 2020,FULL,Faixa Azul Grau III,49,4846,9325,02/10/2019 22:49:01,22,COM TUTOR,360,Parcial,01/03/2021 10:45:01,515,21/04/2002 00:00:00,22/02/2021 23:59:59
141973,ITA e IME 2020,FULL,Faixa Verde Grau II,4,1074,5827,02/10/2019 23:45:31,15,COM TUTOR,278,Exclusivo,02/12/2020 22:41:19,427,16/04/2002 00:00:00,31/01/2021 00:00:00
141974,Medicina 2020,FULL,Faixa Branca Grau I,0,106,76,03/10/2019 03:48:49,0,COM TUTOR,80,Exclusivo,17/08/2021 18:37:31,685,24/01/1995 00:00:00,25/01/2022 02:59:59
141975,ITA e IME 2020,MONTHLY,Faixa Branca Grau I,0,34,85,03/10/2019 07:25:22,0,COM TUTOR,8,Exclusivo,09/12/2019 19:42:27,68,19/01/1999 00:00:00,02/12/2019 07:08:38
141976,ITA e IME 2020,FULL,Faixa Branca Grau V,1,575,506,03/10/2019 12:32:59,1,COM TUTOR,99,Exclusivo,N/A,N/A,09/10/2000 00:00:00,31/01/2021 00:00:00
141977,ITA e IME 2020,FULL,Faixa Branca Grau V,0,171,356,03/10/2019 13:04:27,0,COM TUTOR,11,Exclusivo,23/01/2020 02:59:59,112,09/12/2000 00:00:00,31/01/2021 00:00:00
141979,ITA e IME 2020,FULL,Faixa Branca Grau I,0,557,392,03/10/2019 14:22:27,0,COM TUTOR,243,Parcial,N/A,N/A,11/07/1999 00:00:00,31/01/2021 00:00:00
141983,ITA e IME 2020,FULL,Faixa Verde Grau III,3,212,656,03/10/2019 19:17:35,1,COM TUTOR,105,Parcial,N/A,N/A,14/01/2003 00:00:00,25/12/2020 00:00:00
141986,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,36,19,03/10/2019 23:52:13,3,COM TUTOR,19,Consulta,24/04/2020 15:00:00,204,18/08/2002 00:00:00,25/12/2020 00:00:00
141987,ITA e IME 2020,MONTHLY,Faixa Verde Grau I,2,118,113,04/10/2019 07:32:34,0,COM TUTOR,0,Consulta,10/11/2019 20:50:26,38,21/11/2001 00:00:00,03/11/2019 07:32:32
141991,Medicina 2020,FULL,Faixa Branca Grau I,0,36,36,04/10/2019 14:45:42,0,COM TUTOR,26,Exclusivo,N/A,N/A,20/08/2018 00:00:00,21/02/2021 23:59:59
141992,ITA e IME 2020,FULL,Faixa Branca Grau V,0,112,56,04/10/2019 17:31:51,2,COM TUTOR,57,Parcial,02/12/2020 22:41:19,425,27/06/1988 00:00:00,25/12/2020 00:00:00
141993,Medicina 2020,MONTHLY,Faixa Branca Grau I,0,43,21,04/10/2019 17:56:12,0,COM TUTOR,0,Exclusivo,10/12/2019 20:53:28,67,16/03/2002 00:00:00,03/12/2019 20:51:47
141995,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,119,114,04/10/2019 18:40:05,0,COM TUTOR,39,Consulta,N/A,N/A,03/03/2001 00:00:00,25/12/2021 02:59:59
141997,Medicina 2020,FULL,Faixa Branca Grau I,1,34,45,04/10/2019 21:20:38,0,COM TUTOR,7,Exclusivo,N/A,N/A,15/06/1997 00:00:00,21/02/2021 23:59:59
141998,Medicina 2020,MONTHLY,Faixa Branca Grau I,0,22,17,04/10/2019 21:23:28,0,COM TUTOR,0,Exclusivo,28/10/2019 13:05:20,24,02/07/1979 00:00:00,03/11/2019 21:23:26
141999,Medicina 2020,FULL,Faixa Verde Grau II,5,344,677,04/10/2019 21:37:07,3,COM TUTOR,60,Parcial,01/03/2021 10:45:01,514,03/11/1988 00:00:00,22/02/2021 23:59:59
142000,Medicina 2020,FULL,Faixa Verde Grau I,27,1377,2247,05/10/2019 07:13:18,15,COM TUTOR,268,Exclusivo,15/02/2021 15:13:19,499,03/06/1996 00:00:00,22/02/2021 02:59:59
142001,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,453,1405,05/10/2019 13:42:54,0,COM TUTOR,99,Exclusivo,N/A,N/A,08/12/1999 00:00:00,25/12/2020 00:00:00
142003,ITA e IME 2020,FULL,Faixa Branca Grau V,0,876,2328,05/10/2019 17:51:47,3,COM TUTOR,114,Exclusivo,15/02/2021 15:13:19,499,05/04/2002 00:00:00,25/12/2021 02:59:59
142005,Medicina 2020,FULL,Faixa Branca Grau I,0,24,0,06/10/2019 01:54:27,0,COM TUTOR,2,Exclusivo,N/A,N/A,N/A,21/02/2021 23:59:59
142006,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,86,77,06/10/2019 14:53:00,3,COM TUTOR,19,Parcial,N/A,N/A,15/09/2000 00:00:00,25/12/2020 00:00:00
142007,Medicina 2020,FULL,Faixa Preta Grau III,53,5090,10140,06/10/2019 15:05:31,19,COM TUTOR,425,Exclusivo,01/03/2021 10:45:01,512,22/11/1993 00:00:00,22/02/2021 23:59:59
142008,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,828,1676,06/10/2019 15:17:43,0,COM TUTOR,258,Exclusivo,N/A,N/A,23/11/2002 00:00:00,25/12/2021 02:59:59
142009,ITA e IME 2020,FULL,Faixa Verde Grau II,4,164,134,06/10/2019 17:15:41,0,COM TUTOR,57,Exclusivo,N/A,N/A,15/10/2003 00:00:00,25/01/2023 02:59:59
142010,ITA e IME 2020,FULL,Faixa Verde Grau II,9,456,955,06/10/2019 18:56:50,7,COM TUTOR,109,Consulta,N/A,N/A,24/10/2002 00:00:00,25/12/2020 00:00:00
142011,ITA e IME 2020,FULL,Faixa Branca Grau IV,2,312,745,06/10/2019 19:42:49,2,COM TUTOR,90,Exclusivo,N/A,N/A,14/09/2000 00:00:00,23/12/2020 15:00:00
142012,ITA e IME 2020,FULL,Faixa Verde Grau II,12,3829,2897,06/10/2019 20:09:39,20,COM TUTOR,262,Parcial,15/02/2021 15:13:19,498,12/03/2001 00:00:00,25/12/2021 02:59:59
142014,Medicina 2020,FULL,Faixa Branca Grau IV,0,11,12,06/10/2019 20:52:10,0,COM TUTOR,5,Exclusivo,N/A,N/A,02/11/2003 00:00:00,21/02/2021 23:59:59
142016,Medicina 2020,FULL,Faixa Azul Grau III,24,2440,6030,06/10/2019 22:57:06,20,COM TUTOR,272,Consulta,N/A,N/A,20/12/2002 00:00:00,31/01/2021 15:00:00
142018,ITA e IME 2020,FULL,Faixa Branca Grau III,0,21,11,07/10/2019 13:14:36,0,COM TUTOR,9,Exclusivo,19/05/2021 17:58:08,590,31/10/1990 00:00:00,25/12/2021 02:59:59
142020,Medicina 2020,FULL,Faixa Branca Grau IV,8,828,1863,07/10/2019 16:48:56,5,COM TUTOR,107,Exclusivo,N/A,N/A,19/11/1982 00:00:00,31/01/2021 00:00:00
142021,ITA e IME 2020,FULL,Faixa Azul Grau II,35,1859,4951,07/10/2019 18:52:17,7,COM TUTOR,280,Parcial,N/A,N/A,21/01/1999 00:00:00,25/12/2020 00:00:00
142022,Medicina 2020,FULL,Faixa Branca Grau I,0,137,196,07/10/2019 19:51:03,0,COM TUTOR,35,Parcial,N/A,N/A,28/10/1997 00:00:00,21/02/2021 23:59:59
142024,ITA e IME 2020,FULL,Faixa Verde Grau II,3,2158,3625,07/10/2019 21:22:49,10,COM TUTOR,217,Exclusivo,N/A,N/A,10/03/2003 00:00:00,05/12/2020 02:59:59
142025,Medicina 2020,FULL,Faixa Branca Grau I,0,77,1,07/10/2019 22:38:00,0,COM TUTOR,22,Exclusivo,N/A,N/A,12/03/1978 00:00:00,25/12/2021 02:59:59
142026,Medicina 2020,FULL,Faixa Branca Grau I,0,158,424,07/10/2019 23:35:06,1,COM TUTOR,23,Parcial,N/A,N/A,07/11/2003 00:00:00,21/02/2021 23:59:59
142028,Medicina 2020,FULL,Faixa Branca Grau II,0,0,0,08/10/2019 00:24:13,0,COM TUTOR,1,Exclusivo,N/A,N/A,17/07/1992 00:00:00,21/02/2021 23:59:59
142029,ITA e IME 2020,FULL,Faixa Branca Grau V,0,847,1746,08/10/2019 00:29:30,0,COM TUTOR,174,Parcial,02/12/2020 22:41:19,422,05/05/2000 00:00:00,25/12/2020 00:00:00
142032,Medicina 2020,FULL,Faixa Branca Grau I,1,61,61,08/10/2019 01:09:31,1,COM TUTOR,10,Exclusivo,17/04/2020 15:00:00,193,N/A,31/01/2021 00:00:00
142033,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,18,15,08/10/2019 01:24:18,0,COM TUTOR,0,Exclusivo,17/10/2019 02:59:59,9,20/05/2001 00:00:00,25/12/2020 00:00:00
142034,Medicina 2020,FULL,Faixa Lilás Grau I,39,1851,6304,08/10/2019 02:10:29,15,COM TUTOR,335,Parcial,N/A,N/A,16/02/2002 00:00:00,22/02/2021 02:59:59
142035,ITA e IME 2020,FULL,Faixa Branca Grau I,12,1224,3739,08/10/2019 09:37:01,31,COM TUTOR,275,Consulta,N/A,N/A,N/A,25/12/2020 00:00:00
142037,Medicina 2020,FULL,Faixa Branca Grau IV,0,7,12,08/10/2019 09:46:09,0,COM TUTOR,2,Exclusivo,N/A,N/A,18/12/1966 00:00:00,21/02/2021 23:59:59
142038,ITA e IME 2020,FULL,Faixa Lilás Grau I,18,2000,6725,08/10/2019 10:05:53,19,COM TUTOR,245,Parcial,N/A,N/A,24/06/2003 00:00:00,25/12/2020 00:00:00
142039,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,112,231,08/10/2019 11:01:46,0,COM TUTOR,21,Exclusivo,N/A,N/A,02/01/2004 00:00:00,25/12/2020 00:00:00
142040,ITA e IME 2020,FULL,Faixa Verde Grau II,3,324,389,08/10/2019 12:34:58,2,COM TUTOR,130,Parcial,02/12/2020 22:41:19,421,07/02/2000 00:00:00,25/12/2020 00:00:00
142043,ITA e IME 2020,MONTHLY,Faixa Branca Grau I,0,47,48,08/10/2019 16:39:28,0,COM TUTOR,5,Exclusivo,08/01/2020 01:13:15,91,05/08/2000 00:00:00,05/02/2020 19:46:59
142044,ITA e IME 2020,FULL,Faixa Azul Grau III,37,3115,4877,08/10/2019 17:33:54,6,COM TUTOR,361,Parcial,19/02/2021 18:42:56,500,09/10/2000 00:00:00,25/12/2021 02:59:59
142045,ITA e IME 2020,FULL,Faixa Branca Grau V,2,657,1556,08/10/2019 17:38:42,2,COM TUTOR,149,Parcial,N/A,N/A,25/02/2003 00:00:00,25/12/2020 00:00:00
142048,ITA e IME 2020,MONTHLY,Faixa Branca Grau V,0,34,8,08/10/2019 21:07:55,1,COM TUTOR,53,Exclusivo,N/A,N/A,21/08/1991 00:00:00,25/12/2020 00:00:00
142049,Medicina 2020,FULL,Faixa Branca Grau I,2,976,378,08/10/2019 21:41:50,0,COM TUTOR,96,Exclusivo,N/A,N/A,20/07/1972 00:00:00,22/02/2021 02:59:59
142051,ITA e IME 2020,FULL,Faixa Azul Grau III,26,786,2548,08/10/2019 22:54:19,9,COM TUTOR,147,Exclusivo,N/A,N/A,05/06/2003 00:00:00,25/12/2020 00:00:00
142063,ITA e IME 2020,FULL,Faixa Branca Grau IV,0,2,12,09/10/2019 17:18:14,0,COM TUTOR,0,Exclusivo,11/03/2020 02:59:59,153,N/A,25/12/2020 00:00:00
142076,ITA e IME 2020,MONTHLY,Faixa Branca Grau III,0,8,0,09/10/2019 19:41:01,0,COM TUTOR,6,Exclusivo,28/08/2020 20:00:18,324,17/09/1999 00:00:00,25/09/2020 21:37:37
142083,Medicina 2020,FULL,Faixa Branca Grau I,5,2475,4443,10/10/2019 07:15:14,5,COM TUTOR,141,Exclusivo,N/A,N/A,04/06/1993 00:00:00,21/02/2021 23:59:59
142091,Medicina 2020,FULL,Faixa Branca Grau I,0,0,0,10/10/2019 16:51:10,0,COM TUTOR,0,Consulta,N/A,N/A,20/01/1989 00:00:00,21/02/2021 23:59:59
